Calalzo Pieve Cadore Cortina	CPC	12	46.443829	12.388668
Calamandrana	CNA	3	44.738986	8.331572
Calatabiano	CNO	14	37.814684	15.226568
Calatafimi	CMI	14	37.938858	12.856156
Calceranica	CCA	9	46.007384	11.240713
Calciano	CNN	15	40.595117	16.202526
Calcio	CIO	1	45.532937	9.841342
Calde`	CDE	1	45.945812	8.663157
Caldiero	CRO	12	45.41407	11.169753
Caldonazzo	CZO	9	45.997575	11.264815
Calenzano	CNZ	13	43.856429	11.14537
Calitri Pescopagano	CIP	18	40.884932	15.427962
Calolziocorte Olginate	CEE	1	45.801619	9.42698
Calopezzati	CTI	17	39.579022	16.819361
Caltagirone	CNE	14	37.225276	14.521165
Caltanissetta Centrale	CAC	14	37.48829	14.057396
Caltanissetta Xirbi	CAX	14	37.536296	14.056902
Caltignaga	CGA	3	45.519167	8.591602
Calusco	CCO	1	45.684113	9.470646
Caluso	CSO	3	45.303194	7.902568
Calvisano	CNS	1	45.346572	10.349411
Camaiore Lido Capezzano	CLC	13	43.912176	10.24765
Cambiano	CNI	13	43.631183	10.958997
Cambiano Santena	COS	3	44.966491	7.773225
Cammarata S.Giovanni Gemini	CSG	14	37.653759	13.673791
Camnago-Lentate	COL	1	45.668425	9.133451
Camogli San Fruttuoso	CSF	2	44.348166	9.156743
Campagna Serre Persano	CSP	18	40.595667	15.113986
Campello	CLO	6	42.822814	12.761253
Campiglia Marittima	CAM	13	43.017118	10.586558
Campo Di Carne	CDC	5	41.552116	12.635125
Campo Di Giove	CDG	19	42.007967	14.041492
Campo Di Giove-Monte Maiella	CDA	19	41.993262	14.069088
Campo Di Nusco	CDN	18	40.879143	15.129255
Campo Di Trens 	CDT	9	46.869076	11.488231
Campobasso	CSS	7	41.558137	14.66393
Campobello Di Mazara	CDM	14	37.636256	12.733165
Campobello Ravanusa	COR	14	37.265731	13.946251
Campodarsego	CGO	12	45.505721	11.900894
Campofelice	CCE	14	37.992615	13.876549
Campofranco	CCC	14	37.510105	13.686777
Campolattaro	CRR	18	41.285869	14.726853
Campoleone	CNL	5	41.642396	12.648341
Campolieto Monacilioni	COI	7	41.642573	14.76544
Campoligure Masone	CEM	2	44.530909	8.700878
Campomaggiore	CRE	15	40.550772	16.086766
Campomarino	CNR	7	41.957398	15.042416
Campomela	CLA	20	40.68139	8.638875
Campomigliaio	CII	13	43.937241	11.303593
Campora S.Giov. Serra Aiello	CSL	17	39.068402	16.09102
Camporgiano	CNG	13	44.161448	10.334849
Camposampiero	CRP	12	45.568922	11.928293
Camposanto	CTO	8	44.787527	11.143587
Camucia Cortona	CAA	13	43.261104	11.971245
Cancelliera	CRA	5	41.710587	12.621758
Cancello	CLL	18	40.993063	14.418877
Cancello Arnone	COA	18	41.063369	14.02901
Candela	CLE	16	41.151439	15.533163
Candelo	CLD	3	45.547433	8.100103
Candia Canavese	CAE	3	45.329824	7.891819
Candia Lomellina	CAL	1	45.179911	8.593156
Candida	CDD	16	41.346664	15.996588
Candiolo	CLI	3	44.961155	7.598973
Candoglia Ornavasso	CAO	3	45.977489	8.419715
Canegrate	CTE	1	45.569235	8.926593
Canelli	CLN	3	44.716716	8.294544
Canetra	CRT	5	42.391578	13.029159
Canicatti`	CTT	14	37.359879	13.855395
Caniga	CGG	20	40.716116	8.526395
Cannara	CRN	6	43.019591	12.628709
Canne Della Battaglia	CDB	16	41.294583	16.146169
Canneto Sull`Oglio	COO	1	45.150211	10.37147
Canosa Di Puglia	CDP	16	41.218556	16.053906
Cantalupo Del Sannio	CDS	7	41.5174	14.6671
Cantu`	CTU	1	45.752316	9.130321
Cantu`- Cermenate	CUC	1	45.716236	9.099284
Caorso	CSR	8	45.042048	9.868157
Capaccio Roccadaspide	COE	18	40.454518	15.013551
Capaci	CCI	14	38.171794	13.232398
Capalbio	CIB	13	42.407974	11.370982
Capannelle	CLP	5	41.830713	12.568884
Capistrello	CLR	19	41.97051	13.399276
Capo Bonifati	COB	17	39.558342	15.874052
Capo D`Orlando-Naso	CDO	14	38.157941	14.744844
Capo Spartivento	COT	17	37.924778	16.058342
Capodacqua Pieve Fanonica	CPF	6	43.026769	12.7541
Cappelle-Magliano	CEN	19	42.059369	13.372468
Capralba	CBA	1	45.443871	9.640015
Capranica	CCN	5	42.245195	12.157194
Caprarola	LCA	5	42.303815	12.258238
Capriati Al Volturno	CAV	7	41.44279	14.070664
Capriolo	LAC	1	45.64556	9.933806
Capriva	CVA	10	45.938764	13.517494
Capua	CUA	18	41.101306	14.210347
Carate-Calo`	CEC	1	45.676451	9.252304
Caravaggio	CIG	1	45.491158	9.637723
Carbona	CNB	8	44.246876	11.09618
Carbonara Scrivia	CAI	3	44.860173	8.853772
Carbonia Serbariu	CAU	20	39.169508	8.509186
Cardillo Zen	COZ	14	38.17495	13.296897
Carentino	CNT	3	44.831303	8.470474
Cariati	CTA	17	39.496884	16.952018
Carimate	CTM	1	45.697094	9.107188
Carini	CAN	14	38.147696	13.186624
Carini Torre Ciachea	CTC	14	38.16149	13.219641
Carisio	CIS	3	45.403164	8.21249
Carmagnola	CLG	3	44.846944	7.72797
Carmignano Di Brenta	CDR	12	45.621354	11.714891
Carnate Usmate	CEU	1	45.653072	9.375089
Carnia	CIA	10	46.373634	13.132847
Caronia	CIN	14	38.034475	14.443761
Carovigno	CNV	16	40.737337	17.683791
Carovilli-Roccasicura	CIR	7	41.712485	14.299732
Carpane`Valstagna	CNP	12	45.860128	11.661183
Carpi	CPI	8	44.782919	10.891952
Carpignano Sesia	OCE	3	45.528934	8.422898
Carpinone	NCA	7	41.588038	14.326783
Carrara Avenza	CAZ	13	44.051239	10.062927
Carrito-Ortona	CON	19	42.026506	13.720179
Carruba	CBB	14	37.694344	15.196143
Carru` Clavesana	CUN	3	44.479548	7.891414
Carsoli	CLS	19	42.09578	13.080388
Casabianca	CCB	5	41.788327	12.60431
Casacalenda Guardialfiera	CAG	7	41.738109	14.849602
Casal Sabini	CLB	16	40.799021	16.647908
Casalbordino Pollutri	COP	19	42.193653	14.633045
Casalbuono	CNU	18	40.214093	15.686095
Casalbuttano	NAC	1	45.255398	9.962361
Casale Monferrato	CET	3	45.133928	8.460292
Casale Popolo	CEP	3	45.160434	8.44055
Casalecchio Di Reno	CED	8	44.474298	11.276097
Casalecchio Garibaldi	COG	8	44.482995	11.272474
Casaleggio	CIL	3	45.491298	8.490369
Casaletto Vaprio	COV	1	45.408641	9.631746
Casalmaggiore	CRG	1	44.993139	10.425023
Casalnuovo	CVO	18	40.915559	14.35296
Casalpusterlengo	CGN	1	45.182473	9.653627
Casarsa	CSA	10	45.953002	12.8406
Cascina	CNC	13	43.674542	10.545225
